accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2019,-1,Dry,Fine without high winds,Rural,Serious,1
2019,-1,Dry,Fine without high winds,Urban,Serious,1
2020,-1,Dry,Fine without high winds,Urban,Serious,1
2014,20,Dry,Fine without high winds,Rural,Serious,9
2014,20,Dry,Fine without high winds,Urban,Serious,15
2015,20,Dry,Fine without high winds,Rural,Serious,25
2015,20,Dry,Fine without high winds,Urban,Serious,38
2016,20,Dry,Fine without high winds,Rural,Serious,115
2016,20,Dry,Fine without high winds,Urban,Serious,164
2017,20,Dry,Fine without high winds,Rural,Serious,340
2017,20,Dry,Fine without high winds,Urban,Serious,498
2018,20,Dry,Fine without high winds,Rural,Serious,437
2018,20,Dry,Fine without high winds,Urban,Serious,616
2019,20,Dry,Fine without high winds,Rural,Serious,493
2019,20,Dry,Fine without high winds,Urban,Serious,689
2020,20,Dry,Fine without high winds,Rural,Serious,402
2020,20,Dry,Fine without high winds,Urban,Serious,561
2021,20,Dry,Fine without high winds,Rural,Serious,721
2021,20,Dry,Fine without high winds,Urban,Serious,932
2022,20,Dry,Fine without high winds,Rural,Serious,853
2022,20,Dry,Fine without high winds,Urban,Serious,1086
2023,20,Dry,Fine without high winds,Rural,Serious,919
2023,20,Dry,Fine without high winds,Urban,Serious,1143
2014,30,Dry,Fine without high winds,Rural,Serious,998
2014,30,Dry,Fine without high winds,Urban,Serious,1257
2015,30,Dry,Fine without high winds,Rural,Serious,944
2015,30,Dry,Fine without high winds,Urban,Serious,1149
2016,30,Dry,Fine without high winds,Rural,Serious,1097
2016,30,Dry,Fine without high winds,Urban,Serious,1350
2017,30,Dry,Fine without high winds,Rural,Serious,1594
2017,30,Dry,Fine without high winds,Urban,Serious,1938
2018,30,Dry,Fine without high winds,Rural,Serious,1539
2018,30,Dry,Fine without high winds,Urban,Serious,1847
2019,30,Dry,Fine without high winds,Rural,Serious,1283
2019,30,Dry,Fine without high winds,Urban,Serious,1577
2020,30,Dry,Fine without high winds,Rural,Serious,871
2020,30,Dry,Fine without high winds,Urban,Serious,1023
2021,30,Dry,Fine without high winds,Rural,Serious,1039
2021,30,Dry,Fine without high winds,Urban,Serious,1190
2022,30,Dry,Fine without high winds,Rural,Serious,1049
2022,30,Dry,Fine without high winds,Urban,Serious,1199
2023,30,Dry,Fine without high winds,Rural,Serious,829
2023,30,Dry,Fine without high winds,Urban,Serious,937
2014,40,Dry,Fine without high winds,Rural,Serious,30
2014,40,Dry,Fine without high winds,Urban,Serious,39
2015,40,Dry,Fine without high winds,Rural,Serious,44
2015,40,Dry,Fine without high winds,Urban,Serious,52
2016,40,Dry,Fine without high winds,Rural,Serious,72
2016,40,Dry,Fine without high winds,Urban,Serious,84
2017,40,Dry,Fine without high winds,Rural,Serious,147
2017,40,Dry,Fine without high winds,Urban,Serious,155
2018,40,Dry,Fine without high winds,Rural,Serious,126
